MsgID.STATE,1526666818.5144691,False,False
MsgID.LOCAL_VELOCITY,1526666866.6472120,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6473641,0.1377078,0.0197449,-0.2265410
MsgID.LOCAL_VELOCITY,1526666866.6473641,0.0000105,0.0000028,0.0000212
MsgID.GLOBAL_POSITION,1526666866.6475232,-122.3974515,37.7924797,0.2310000
MsgID.LOCAL_VELOCITY,1526666866.6475232,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6477060,-0.0281732,-0.1407176,-0.2317660
MsgID.LOCAL_VELOCITY,1526666866.6477060,-0.0000057,0.0000142,0.0000164
MsgID.STATE,1526666866.6479959,True,True
MsgID.GLOBAL_HOME,1526666866.6482391,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1526666866.6483991,0.0052035,-0.0273781,-0.2188336
MsgID.LOCAL_VELOCITY,1526666866.6483991,-0.0000206,-0.0000060,0.0000180
MsgID.GLOBAL_POSITION,1526666866.6486320,-122.3974503,37.7924800,0.2180000
MsgID.LOCAL_VELOCITY,1526666866.6486320,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6487949,0.1424442,0.0094215,-0.1959019
MsgID.LOCAL_VELOCITY,1526666866.6487949,-0.0000037,0.0000017,0.0000122
MsgID.GLOBAL_POSITION,1526666866.6489611,-122.3974498,37.7924812,0.1950000
MsgID.LOCAL_VELOCITY,1526666866.6489611,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6491132,0.1635217,0.0282022,-0.1615675
MsgID.LOCAL_VELOCITY,1526666866.6491132,0.0000046,-0.0000345,0.0000130
MsgID.GLOBAL_POSITION,1526666866.6492741,-122.3974496,37.7924814,0.1610000
MsgID.LOCAL_VELOCITY,1526666866.6492741,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6494238,0.1286480,0.1547036,-0.1290416
MsgID.LOCAL_VELOCITY,1526666866.6494238,-0.0000092,-0.0000193,0.0000129
MsgID.GLOBAL_POSITION,1526666866.6495960,-122.3974482,37.7924811,0.1290000
MsgID.LOCAL_VELOCITY,1526666866.6495960,0.0000000,0.0000000,0.0000000
MsgID.STATE,1526666866.6498690,True,True
MsgID.GLOBAL_HOME,1526666866.6501131,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6502762,-122.3974496,37.7924806,0.0940000
MsgID.LOCAL_VELOCITY,1526666866.6502762,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6504581,0.0693743,0.0342968,-0.0947224
MsgID.LOCAL_VELOCITY,1526666866.6504581,0.0000117,-0.0000303,0.0000209
MsgID.GLOBAL_POSITION,1526666866.6506760,-122.3974508,37.7924788,0.0720000
MsgID.LOCAL_VELOCITY,1526666866.6506760,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6508610,-0.1242233,-0.0750547,-0.0720341
MsgID.LOCAL_VELOCITY,1526666866.6508610,0.0000195,0.0000010,0.0000156
MsgID.GLOBAL_POSITION,1526666866.6510248,-122.3974496,37.7924804,0.0580000
MsgID.LOCAL_VELOCITY,1526666866.6510248,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6511769,0.0453175,0.0272017,-0.0583049
MsgID.LOCAL_VELOCITY,1526666866.6511769,0.0000105,-0.0000226,0.0000196
MsgID.GLOBAL_POSITION,1526666866.6513369,-122.3974498,37.7924816,0.0570000
MsgID.LOCAL_VELOCITY,1526666866.6513369,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6514881,0.1852631,0.0174870,-0.0579190
